lampung,indo
nyo kah wat tugas akhir pakai ujian?,apakah ada tugas akhir untuk ujian ?
yeu wat pigho,ya ada beberapa
"gat,makko","tidak , tidak ada"
nyo kah iyo rajin megegh dak sekulah?,apakah dia rajin datang ke sekolah ?
anak ikam gegeh no wat masalah kesusah dilem kelas,anak saya sepertinya mengalami kesulitan di kelas
yo kesusahan nyelsaiken rasan nuwo ne PR,dia kesulitan mengerjakan pekerjaan rumah nya
nyo kah nigheu ngebbo surat izin anjak nuwo?,apakah kamu bawa surat izin dari orang tua ?
ya ikam ngebbo surat izin no,ya saya bawa surat izinnya
"enggat, ikam mak ngebbo surat izin","tidak , saya tidak bawa surat izin"
sekam mestei belei bukeu sayan,kamu harus beli buku sendiri
bukeu no harus belei di kuprasei sekulah,bukunya harus beli di koperasi sekolah
di kedo ruang guruno?,dimana ruang gurunya ?
dikeddo kattur tata usaha no?,dimana kantor tata usahanya ?
dapek jelaskan sekalei lagei?,bisa jelaskan sekali lagi ?
ikam mak ngertei tulung jelasko?,saya tidak mengerti tolong jelaskan
ikam pagun mak pahem,saya masih tetap tidak mengerti
"ikam mak pahhem, tulung balahno alun alun","saya tidak mengerti , tolong bicaranya pelan-pelan"
tulung culuk ke nilai ikam,tolong lihatkan nilai saya
bu pigho nilai ulangan ikam burbei?,bu berapa nilai ulangan saya kemarin ?
nyo kah nilai ulangan ikam wawai?,apakah nilai ulangan saya bagus ?
nyokah nilai ulangan ikam jahel?,apakah nilai ulangan saya jelek ?
nikeu sekulah kelas pigho?,kamu sekolah kelas berapa ?
nyo kah nikeu kak sekulah?,apa kamu sudah sekolah ?
mato pelajaran nyo sidiilingke sekam disekulah?,mata pelajaran apa yang kamu sukai di sekolah ?
ikam iling pelajaghan bahaso,saya suka pelajaran bahasa
ikam iling pelajaghan mateimatika,saya suka pelajaran matematika
sekam iling sekulah dinnei?,kamu suka sekolah disana ?
ya ya iling,ya saya suka
ya ya ikam iling ulah nayah serundo,ya saya suka karena banyak teman
enggat ikam mak iling,tidak saya tidak suka
bukan karena sekulah no jaweh anajk nuwo,tidak karena sekolahnya jauh dari rumah
"wwai temen, timbalmeu pas","bagus sekali , jawabanmu tepat"
temen sidicawo ke meu,benar sekali apa yang kamu bilang
sekam sanak sai wawai,kamu anak yang baik
yeu temmen,ya betul
salah jawabno salah!,salah jawabannya salah
"mejeng, tulung dang littek?","duduk , tolong jangan ribut !"
"dang littek, perhateiken!","jangan ribut , perhatikan !"
"haning,peh kughuk kelas!","diam , ayo masuk kelas !"
kughuk kelas!,masuk kelas !
jamuk ke pay mainanno!,simpan dulu mainannya !
kughuk ke pai  buku ijo dak lem tas !,masukan bukunya ke dalam tas !
dang begurau jugo !,jangan bercanda terus !
kerjake tano !,kerjakan sekarang !
kerjake halaman 1,kerjakan halaman 1
tano kumpulke tugas no !,sekarang kumpulkan tugasnya !
kumpulke tugas no !,kumpulkan tugasnya !
nyo radu ngerti ?,apa sudah mengerti ?
nyo wat pertanyaan ?,apakah ada pertanyaan ?
nyo wat ditaikamen ?,apa ada yang ditaikaman ?
kedau nayah hasil no ?,berapa banyak panennya ?
pigho kali musim no ?,berapa kali panennya ?
pigho kali sawah ijo  dilukau ?,berapa kali sawah ini dibajak ?
kedo beghak kebun ijo ?,berapakah luas kebun ini ?
kedo beghak kebun ijo ?,berapakah luas kebun ini ?
jenis tanoman nyo sai di tanom dijo ?,jenis tanaman apa yang ditanam di sini ?
kak kedu munni sekam nguruske tenanom ijo ?,sudah berapa lama anda mengelola pertanian ini ?
ijo kebun jak ayah nyo layen ?,ini kebun milik bapak atau bukan ?
kebun ijo jak ulun barih,kebun ini milik orang lain
yu kebun ijo jak ku,ya kebun ini punya saya
ikam cuman upahan,saya hanya penggarap
di luku makai nyo sawah ijo ?,dibajak dengan apa sawah ini ?
di jual dsak kedo hasil sawah ijo ?,di jual kemana hasil panen sawah ini ?
kedo balak keuntungan sai bapak terimo ?,berapa besar keuntungan yang bapak peroleh ?
pigho kali niku ngejuk pupuk dilem seminggu ?,berapa kali anda memberi pupuk dalam seminggu ?
jenis parei nyo sai di tanom dijo ?,jenis padi apa yang di tanam di sini ?
"selain parei , nyo lagei sai di tanom dijo ?",selain padi apa lagi yang di tanam di sini ?
pigho kali sawah ijo dialiri wai ?,berapa kali sawah ini diairi ?
ikam betteh,saya lapar
nyo nikeu betteh ?,apakah kamu lapar ?
ikam mak betteh,saya tidak lapar
ikam pagun betteng,saya masih kenyang
ikam kak adau mengan,saya sudah makan
nyo wat restoran disekitar ijo ?,apa ada rumah makan sekitar sini ?
mengan ijo bangik,makan ini enak
mengan ijo mak bangik,makan ini tidak enak
mengan ijo cukup bangik,makan ini lumayan enak
nyo niku iling ino ?,apakah anda suka itu ?
yu ikam ilin temo ino,ya saya sangat suka itu
ikam mak iling,saya tidak suka
mahap ikam mak kelai mengan kanen ino,maaf saya tidak biasa memakan itu
peh bubuh kupek !,ayo tambah lagi !
mak terimo kasih,tidak terima kasih
radu cukup,sudah cukup
ikam kak betteng,saya sudah kenyang
nyo niku ago mengan sesuatu ?,apakah anda mau makan sesuatu ?
ikam kak adeu mengan appai ijo,saya sudah makan barusan
nyo niku ago nginum sesuatu ?,apakah anda mau minum sesuatu ?
dapek ikam kilui wai teh,boleh saya minta air teh
dapek ikam kilui jus,boleh saya minta jus
ikam ago segelas puan,saya mau segelas susu
ikam ago secangkir kupei,saya mau secangkir kopi
ikam ago minuman ngisen,saya mau minuman dingin
ikam ago minuman panas,saya mau minuman panas
ikam ago wai andak,saya mau air putih
nyo nikau kak radau sarapan ?,apakah anda sudah sarapan ?
nyo niku kak radu mengan dawah ?,apakah anda sudah makan siang ?
nyo niku kak radu mengan debingei ?,apakah anda sudah makan malam ?
ago makai gula nyo mak wat ?,mau pakai gula atau tidak ?
ago makai ēs nyo mak wat ?,mau pakai es atau tidak ?
ikam pesen segelas the,saya pesan segelas teh
ikam kilui se porsi,saya minta satu porsi
ikam kilui sepuluh tusuk sate,saya minta sepuluh tusuk sate
dang makai sambel,jangan pakai sambal
ikam kilui kicap cutik,saya minta sedikit kecap
sawos no si nayah,saosnya yang banyak
bibei no cutik gaweh,kuahnya sedikit saja
ikam kilui dibukkus,saya minta dibungkus
ikam kilui sai porsi sate dikukus,saya minta satu porsi sate dikukus
ikam kilui sai porsi daging manuk digorēng,saya minta satu porsi daging ayam digoreng
ikam kilui sai porsi daging sapi dipanggang,saya minta satu porsi daging sapi dipanggang
ikam kilui sai porsi daging kambing dipuppul,saya minta satu porsi daging kambing dibakar
ikam kilui sai porsi daging sapi dipajak,saya minta satu porsi daging sapi direbus
ikam kilui sai porsi daging sapi diciccang,saya minta satu porsi daging sapi dicincang
ikam kilui sai porsi sate diiris,saya minta satu porsi sate diiris
ikam kilui sai porsi sate ditettek,saya minta satu porsi sate dipotong
mesin no mak ughik,mesinnya tidak menyala
wat nyo jamo mesin no ?,ada apa dengan mesinnya ?
mak ago urēk,tidak mau menyala
mesin no cadang,mesinnya rusak
lagei didandan,sedang diperbaiki
lagei didawakke,sedang dibersihkan
pandai der niku ngendandanno ?,dapatkah anda memperbaikinya ?
nyo si perlu digattei ?,apakah perlu diganti ?
pigho ongkos ngedandanno ?,berapa ongkos perbaikannya ?
pigho igo suku cadangno ?,berapa harga suku cadangnya ?
teduh ku ikam dapek ngedandano sayan,saya pikir saya dapat memperbaikinya sendiri
ikam ago ngenjualno,saya mau menjualnya
dikedo pek ngedandanno ?,dimana tempat memperbaikinya ?
ikam ago tuker tambah,saya mau tukar tambah
ikam ago ngebeli si barau,"""saya mau beli yang baru """
ikam kak munnei mak makaino,saya sudah lama tidak memakainya
ongkosno mahal,"""ongkosnya mahal """
ikam perlu nuwo barau,saya butuh rumah baru
pigho siwo no ?,berapa harga sewanya ?
pigho igo nuwo no ?,berapa harga rumahnya ?
nyo ikam perlau ngebayar duit panjer ?,apa saya harus membayar uang muka ?
nyo wat garasi no ?,apakah ada garasinya ?
pigho kamar pedom no ?,berapa banyak kamar tidurnya ?
pigho kamar mandi no ?,berapa banyak kamar mandinya ?
parek gak jamo sekulah ?,apakah dekat dengan sekolah ?
parek gak jamo sekulah ?,apakah dekat dengan pasar ?
parek gak jamo pasar ?,"""rumah seperti apa yang anda mau ? """
nuwo sai ukuran no balak,rumah yang ukurannya besar
nuwo sai ukuran no lunik,rumah yang ukurannya kecil
nuwo sai ukuran no sedeng,rumah yang ukurannya sedang
nuwo mewah,rumah mewah
nuwo sederhana,rumah sederhana
mak balak gat,tidak terlalu besar
mak lunik gat,tidak terlalu kecil
nyo sai dapek kutulung ?,apa yang bisa saya bantu ?
ikam ago ngebeli kawai,saya mau membeli baju
ikam ago ngebeli kaus,saya mau membeli kaos
ikam ago ngebeli kawai ulahraga,saya mau membeli baju olahraga
ikam ago ngebeli celano ibah,saya mau membeli celana pendek
ikam ago ngebeli rok,saya mau membeli rok
ikam ago ngebeli seragam,saya mau beli seragam
ikam ago ngebeli celano dillem,saya mau beli celana dalam
nyo ukuran no ?,apa ukurannya ?
ikam ago si lunik,saya mau yang kecil
ikam ago si balak,saya mau yang besar
ikam ago ukuran sedang,saya mau ukuran sedang
ikam ago si  lebih balak cutik anjak ijo,saya mau yang sedikit lebih besar dari ini
ikam ago si  lebih lunik cutik anjak ijo,saya mau yang sedikit lebih kecil dari ini
mahap ikam mak pandai ukuran no,maaf saya tidak tahu ukurannya
kira-kira sai cocok ukuran nyo yu ?,kira-kira yang cocok ukuran apa ya ?
dapek ikam coba pai ?,bisa saya coba dulu ?
dapek ikam coba pai ?,bisa saya coba dulu ?
dikedo ikam dapekok nyubo kawai ijo ?,dimana saya bisa mencoba baju ini ?
kawai ijo kebalakan,baju ini kebesaran
kawai ijo kelunikan,baju ini kekecilan
nyo niku wat ukuran si lebih balak ?,apa anda punya ukuran yang lebih besar ?
nyo niku wat ukuran si lebih lunik ?,apa anda punya ukuran yang lebih kecil ?
kawai no pas temen,bajunya terlalu pas
tengah no kelunikan,pinggangnya kekecilan
pemungu baju no ketijangan,lengan bajunya kepanjangan
nyo niku wat si ampai,apa anda punya yang baru ?
nuyo dapek dipuppeh ?,apa bisa dicuci ?
nyo harus digosok pai ?,apa harus disetrika dulu ?
"sijo terlalu mahal , ikam ago sai lebih murah","ini terlalu mahal , saya mau yang lebih murah"
nyo kawai ijo di diskon ?,apa baju ini di diskon ?
nyo  kawai ijo radu di diskon ?,apa baju ini sudah di diskon ?
pigho igo sebenor no ?,berapa harga normalnya ?
pigho igo pas no ?,berapa harga pasnya ?
nyo dapek kurang igo no ?,apa bisa kurang harganya ?
ikam ago tunggo jamo dokter,saya ingin bertemu dengan dokter
ijo petting temon,ini sangat penting
ikam ago dak rumah sakit,saya akan ke rumah sakit
ikam ago lapah dak dokter,saya akan pergi ke dokter
tulung cuwakke ambulan,tolong panggilkan ambulan
nyo niku wawai-wawai gawoh ?,apakah anda baik-baik saja ?
"ikam mak pandai , caluk ku keseleo","saya tidak tahu , sepertinya kaki saya terkilir"
nyo niku katan ?,apakah anda terluka ?
makwat ikam wawai-wawai gaweh,tidak saya baik-baik saja
yu katan lunik,ya sedikit terluka
ikam ago sehaluan jamo dokter john,saya ingin bertemu dengan dokter john
niku pandai dokter sai wawai temen dijo ?,anda tahu dokter terbaik di sini ?
nyo niku wat asuransi kesahatan ?,apakah anda punya asuransi kesehatan ?
nyo cara niku ago ngembayar ongkos no ?,bagaimana anda akan membayar ongkosnya ?
ikam wat asuransi,saya punya asuransi
dapek ikam ninuk kartu asuransino ?,boleh saya lihat kartu asuransinya ?
tolong isi formulir ijo,tolong isi formulir ini
dokter kak siap tungguk mettei,dokter sudah siap menemui anda
tolong minggu depan mulek kupek,tolong minggu depan kembali lagi
belut kawai mettei dan pakai kawai ijo,lepas baju anda dan pakai baju ini
nyo keh mettei ngudut ?,apakah anda merokok ?
pigho bukkus si mettei gelikken dilem sepanas ?,berapa bungkus rokok yang anda habiskan dalam sehari ?
nyo keh mettei lagi hamil ?,apakah anda sedang hamil ?
nyo keh mettei iling elergi ?,apakah anda suka alergi ?
nyo keh mettei  akhir-akhir ijo nayah pikiran ?,apakah akhir-akhir ini banyak pikiran ?
nyo keh mettei stress ?,apakah anda stress ?
nyo keluhan mettei ?,apa keluhan anda ?
ikam sakik ulau,saya sakit kepala
matoku rudap,mata saya kabur
ikam ngeraso sakik di sekitar ulau,saya merasa sakit di sekitar kepala
nyo keh  peikamitno serius dokter ?,apakah peikamitnya serius dokter ?
mettei harus nayah istirahat,anda harus banyak istirahat
tuung jelaske sakik no,tolong jelaskan sakitnya
sakik temen,sangat menyakitkan
bayeh cutik,sedikit bengkak
pegel ngilau ,pegal linu
sakikno luwah tiap limo belas menit,sakitnya muncul setiap lima belas menit
nyo si mettei raso ke ?,apa yang anda rasakan ?
nyo si mettei sandang ke ?,apa yang anda rasakan ?
mak pigho wawai,tidak begitu baik
ikam demam,saya demam
ikam mahaiyek,saya batuk
ikam sakik betteng,saya sakit perut
ikam sakik keddis,saya sakit gigi
ikam panas ngisen,saya panas dingin
ikam ngeraso pusing,saya merasa pusing
ikam ngeraso lemeh,saya merasa lemah
ikam ngeraso letih,saya merasa letih
ikam ngeraso lesu,saya merasa lesu
ikam  muttah jugo,saya muntah terus
ikam  kelleh temen,saya sangat cape
ikam makko nafsu mengan,saya tidak nafsu makan
nyo keh mettei kak anjak ngalami hal geggeh ijo ?,apakah anda pernah mengalami hal seperti ini ?
apay sekalei ijo,baru kali ini
kak ghisek,sudah sering
kak anajk sekalei,pernah satu kali
makket samo sekalei,tidak pernah sama sekali
makket sekalei,tidak pernah
jarang,jarang
pigho munei sekam kak ngeghaso kehal ijo?,berapa lama anda sudah merasakan hal ini ?
kak wo panas,sudah dua hari
kak wo minggeu,sudah dua minggu
apay jino dawah,baru tadi siang
jino tukuk,tadi pagi
berubei bingei,kemarin malam
berubei debei,kemarin sore
"taghik nafas sekam, hembusko nafas sekam","tarik nafas anda , hembuskan nafas anda"
bukak ghango sekam,buka mulut anda
nyokah sekam kak ngimun ubat?,apakah anda sudah minum obat ?
"yew,adew","ya , sudah"
lakwat,belum
ikam lak nginum ubat,saya belum minum obat
ikam nginum ubat anjak warung,saya minum obat dari warung
ikam mestei istirahat dinuwo,saya harus istirahat dirumah
pigho munei ikam harus istirahat?,berapa lama saya harus istirahat ?
nyokah ikam mestei numbukei sekam kupek dukter?,apakah saya harus menemui anda lagi dokter ?
ubat no di inum wokalei sepanas?,obatnya diminum dua kali sehari
inum ubat no tigeh gelik,minum obatnya sampai habis
nyokah sekam wat ubat mahyek?,apakah anda punya obat batuk ?
ikam ago belei ubat sakik betteng,saya mau beli obat sakit perut
ikam ago nebus ubat ijo,saya mau menebus obat ini
pigho igo ubat ijo?,berapa harga obat ini ?
ikam ketighuan rasan,saya mencari pekerjaan
ikam luah anajk beng kerjo ikam,saya keluar dari pekerjaan saya
ikam mak makko rasan,saya tidak punya pekerjaan
ikam lagei ngelamar kerjo,saya sedang melamar kerja
dapekkah sekam nulung ikam nigheu rasan,bisakah anda menolong saya mencarikan kerja
ikam ago wawancara kerjoan,saya akan wawancara kerja
nyo rasan meu?,apa pekerjaan anda ?
ikam pagun sekulah,saya masih sekolah
ikam pagun sekulah,saya masih sekolah
ikam pegawai negeri,saya pegawai negeri
ikam pembanteu,saya pembantu
ikam buruh,saya buruh
ikam mak makkorasan,saya menganggur
pigho munei sekam kerjo?,berapa lama anda bekerja ?
ikam kerjo 5 jam sepanas,saya bekerja lima jam sehari
ikam kerjo anjak tukuk tigeh debbei,saya bekerja dari pagi sampai sore
ikam kak kerjo selamo 6 tahun,saya sudah bekerja selama enam tahun
pigho gajihno?,berapa gajinya ?
gajih ikam lunik,gaji saya kecil
gajih ikam cukup,gaji saya cukup
gajih ikam wayah balak,gaji saya cukup besar
gajih ikam sedeng,gaji saya lumayan
gajih ikam balak temen,gaji saya sangat besar
nypkah sekam dibayar perminggeu nyo per bulan?,apakah anda dibayar perminggu atau per-bulan ?
ikam dibayar perminggeu,saya dibayar perminggu
ikam dibayar sebulan sekalei,saya dibayar sebulan sekali
ikam kilui libur,saya minta cuti
"nyokah kerjo jugo, nyo paruh wakteu?",apakah bekerja penuh atau paruh waktu ?
"pedagang, petanei, dukter, pembanteu, gureu","pedagang , petani , dokter , pembantu , guru"
permisei nyokah wat tilpun umum dijjo?,permisi apakah ada telepon umum di sekitar sini ?
dapek degh ikam makai tilpun sekam?,bolehkah saya menggunakan telepon anda ?
dapek degh ikam nginjam tilpun sekam?,bolehkah saya meminjam telepon anda ?
dapek gaweh,silahkan saja
dapek,boleh
mahhaf mak dapek,maaf tidak bisa
pigho numur tilpun meu?,berapa nomor telepon anda ?
numur tilpun ikam 362783,nomor telepon saya tiga enam dua tujuh delapan tiga
pigho kode area no?,berapa kode areanya ?
kode area no wo kusung wo,kode areanya dua kosong dua
pigho numur tilpun dinnei,berapa nomor telepon disana ?
nyokah sekam wat numur tilpun ijo?,apakah anda punya nomor telepon ini ?
nyokah sekam pandai numur tilpun ijo?,apakah anda tahu nomor telepon ini ?
dapek degh sekam nulung ikam nigheu numur tilpun ijo?,bisakah anda menolong saya mencari nomor telepon ini ?
permisei ikam ago balah jamo ani,permisi saya mau bicara dengan ani
"tulung naen tilpun ikam kupek, ikam lagei siwek","tolong telepon saya kembali nanti , saya sedang sibuk"
nyokah ijo numur tilpun kattur anda?,apakah ini nomor telepon kantor anda ?
mahaf salah sambung,maaf salah sambung
mahhaf dijjo makko jimo siatas namo ino. Sekam salah sambung,"maaf di sini tidak ada orang dengan nama itu , anda salah sambung"
numur no sibuk makko singakkat,nomornya sibuk tidak ada yang mengangkat
dikeddo kah kattur pus sipaghek dijjo?,dimanakah kantor pos terdekat sekitar sini ?
ikam ago ngirimko telegram,saya ingin mengirimkan telegram
pigho igho prangko no?,berapa harga perangkonya ?
pigho igo kiri  pos killat?,berapa harga kirim pos kilat ?
kira kira kapan wakteu munei surat ino tigeh?,kira-kira berapa lama surat ini akan sampai ?
ikam ago ngirimko pakit ijo?,saya ingin mengirimkan paket ini
pigho igo kirim surat biaso?,berapa harga kirim surat biasa ?
tulung isei salun bensinno,tolong isi penuh bensinnya
tulung cek mubil no,tolong cek ban mobilnya
tulung ban no isei angin,tolong bannya isi angin
mubil ikam cadang,mobil saya rusak
mubil ikam macit,mobil saya mogok
mubil ikam kegelikan minyak,mobil saya kehabisan bensin
mubil kkam mak ago di starter,mobil saya tidak mau di stater
ban mubil ikam kappit,ban mobil saya kempes
wiper mubil no cadang,wiper mobilnya rusak
rim mubil ikam blung ,rem mobil saya blong
wat kah bikkil sipaghek dijjo?,apakah ada bengkel di sekitar sini ?
dikeddo bikkil si paling paghek?,dimanakah bengkel yang terdekat ?
dikeddokah pom bensin si paling paghek?,dimanakah pom bensin terdekat ?
dapek kah sekam nyanei mubil ikam?,bisakah anda memperbaiki mobil saya ?
dapek kah sekam nulungnikam?,bisakah anda menolong saya ?
ikam masso musibah,saya kecelakaan
ikam kenaghatan kuccei mubil ikam,saya kehilangan kunci mobil saya
nikeu ago lapah dak kedo?,kamu akan pergi kemana ?
ikam lapah dak apotok,saya pergi ke apotik
ikam ago lapah belanjo,saya akan pergi berbelanja
ikam ago bekerjo,saya akan bekerja
ikam ago mulang,saya akan pulang
ikam ago mider-mider,saya akan jalan-jalan
nyokah mettei pandai geh kedo caro lapah daknei?,apakah anda tahu bagaimana cara menuju kesana ?
yeu ikam pandai,ya saya tahu
iduh ikam mak pandai,tidak saya tidak tahu
dapek degh mettei nyulukke leng layo dak hutil?,bisakah anda menunjukkan jalan menuju hotel ?
"tabik,leng layo kedo si palig paghek dak hutil?","permisi , jalan mana yang paling dekat menuju hotel ?"
nyo cara ikam dapek tigrh nei,bagaimana saya dapat sampai kesana ?
sekam dapek cakak taksei,anda bisa menggunakan taksi
sekam dapek nebing mubil ikam,anda bisa menumpang mobil saya
sekam dapek lapah caluk,anda bisa jalan kaki
nyo kah jaweh anjak jo?,apakah jauh dari sini ?
mak jaweh gat,tidak begitu jauh
kak paghek,sudah dekat
mik pigho miter gaweh,hanya beberapa meter saja
mak jaweh anjak jo,tidak jauh dari sini
kiro-kiro sejam anjak jo,sekitar satu jam dari sini
nyo kah sekam ago lapah sayan nyo ngebo jamo?,apakah anda akan pergi sendirian atau dengan teman ?
ikam ago lapah sayan,saya akan pergi sendirian
ikam ago lapah ngebo jamo,saya akan pergi dengan teman
dikedo pek ijo?,dimanakah alamat ini ?
dapek degh sekam nulung ikam?,dapatkah anda menolong saya ?
ikam wat peta,saya punya peta
ikam mak dapek mak tunggo dilem peta,saya tidak dapat menemukannya di peta
nyo kah sekam kesusahn tigeh beng ijo?,apakah anda kesulitan sampai ketempat ini ?
mak sulit bigo,tidak begitu sulit
ikam kira geh ino,saya kira begitu
dapek kah sekam ngejuk ikam tibingan?,dapatkah anda memberikan saya tumpangan ?
mahap mak dapek,maaf tidak bisa
terimo kasih guwai tibinganno,terima kasih untuk tumpangannya
"permisai, nyo keh bis ijo ago dak arah utara?","permisi , apakah bis ini menuju ke arah utara ?"
piro rego kercis no ?,berapa harga tiketnya ?
"permisai, nyak ago ngelulih jam piro kerito no megger ?","permisi , saya mau tanya jam berapa keretanya datang ?"
kerito no meger jam limo,keretanya datang jam lima
nyokah bis no mak telat ?,apakah bisnya tepat waktu ?
yau pasti mak telat,ya pasti tepat waktu
geh no ago telat cutik,sepertinya akan sedikit terlambat
di kedo restoran no?,dimanakah restorannya ?
di kedo lenglayo luah?,dimanakah jalan keluarnya ?
dikedo lenglayo kughukno ?,dimana jalan masuknya
dikedo pek belei tiketno?,dimana tempat membeli tiketnya ?
dikedo pekno?,dimana lokasinya ?
dikedopek mejengno?,"""dimana tempat duduknya ? """
byokah mettei iling tinggal dijo ?,apakah anda suka tinggal di sini ?
yeu ikam iling temmen,ya saya sangat suka
ikam mak biaso jamo hawo no,saya tidak biasa dengan udaranya
hawo no panas temen,udaranya sangat panas
"gat,di jo nundo busen","tidak , di sini membosankan"
ikam lebih iling tippik si anek,saya lebih suka tinggal di kampung
nyo kah sekam betteh?,apakah anda haus ?
nyo kah sekam betteh?,apakah anda lapar ?
yeu ikam betteh,ya saya lapar
makwat ikam mak hawes,tidak saya tidak haus
nyokah sekam siwek,apakah anda sibuk ?
nyokah sekam lagi santai?,apakah anda sedang santai ?
ikam siwek cutik,saya sedikit sibuk
yau ikam lagi siwek,ya saya sedang sibuk
makwat ikam lagi santai,tidak saya sedang santai
geh kedo perasaoanmeu?,bagaimana perasaanmu ?
ikam wawai-wawai gaweh,saya baik-baik saja
ikam meraso mak bangik,saya tidak begitu baik
ikam meraso kurang sihat,saya sedikit kurang sehat
ikam lagi maring,saya sedang sakit
ikam mak bangik badan,saya tidak enak badan
ikam lagey andel atei,saya sedang gembira
ikam lagey sedih,saya sedang sedih
ikam lagey kiruk,saya sedang bingung
ikam lagey kiruk,saya sedang bingung
hati ikam lagey mak sapen,hati saya sedang gundah
gehkedo ghasono?,bagaimana rasanya ?
"matei bangik,bangik","sangat enak , enak"
ikam lakket ghabai rasan si geggeh ijo,saya belum pernah mencoba yang seperti ini
ikam iling,saya suka
ikam mak iling,saya tidak suka
mak bangik,tidak enak
kurang bangik,kurang enak
teghaso masin metegh misem peghes,terlalu asin manis asam pedas
mak masin metegh misem peghes,kurang asin manis asam pedas
ghasono pas,rasanya pas
ghasono bangik,rasanya mantap
nyo kah tano perasoanmeu?,bagaimana sekarang perasaanmu ?
ijo kak wawai,sudah baikan
kak wawai cutik,sedikit baik
kak wawai temmen,sangat baik
mak wawai temmen,tidak begitu baik
gehkedo cuaco ijo tano?,bagaimana cuacanya sekarang ?
cerah temmen,sangat cerah
asang,panas
ngisen,dingin
mik angin,berangin
mik awan,berawan
gayem,mendung
ujan,hujan
nyo kah lakeu jimo ino?,bagaimana sifat orang itu ?
yo wawai,dia baik
yo berutuk,dia pemarah
yo berutuk,dia pemarah
yo supan,dia sopan
yo lucew,dia lucu
yo ngahning,dia pendiam
yo riwwil,dia cerewet
yo bengis,dia galak
yo bengis,dia galak
yo ramah,dia ramah
yo kasar,dia kasar
nyo upo gayono?,seperti apakah penampilannya ?
yo ibak,dia pendek
yo ghacak,dia tinggi
yo buwekno lurus,dia berambut lurus
yo buwekno galing,dia berambut ikal
yo buwekno galing,dia berambut keriting
yo buwekno ibah,dia berambut pendek
yo buwekno tijjang,dia berambut panjang
yo buwekno gundrung,dia berambut gondrong
yo buwekno agheng,dia berambut hitam
yo buwekno cuklat,dia berambut cokelat
yo buwekno sulluh,dia berambut merah
yo ngemik kumis,dia berkumis
yo ngemik kumis ipis,dia berkumis tipis
yo ngemik kumis amel,dia berkumis tebal
yo mik jangguk,dia berjanggut
yo mik bewok,dia berjambang
yo babak andak,dia berkulit putih
yo babak agheng,dia berkulit hitam
yo babak kuning langsat,dia berkulit kuning langsat
yo tuho,dia tua
yo mudo,dia muda
yo gemuk,dia gemuk
yo ghayang,dia kurus
yo betteng balak,dia gendut
yo langsing,dia langsing
ikam mak pandai,saya tidak tahu
iyo geh sanak lunik,dia seperti anak-anak
wat nyo jamo yo?,ada apa dengannya ?
yo lagey bersedih,dia sedang bersedih
yo maghing,dia sakit
yo lagey kuatir,dia sedang khawatir
yo lagey senang,dia sedang gembira
yo lagey nayah pikiran,dia sedang banyak pikiran
yo lagey senang,dia sedang gembira
geh kedo pelajaghan bahaso lappungno?,bagaimana pelajaran bahasa lampungnya ?
wawai temmen,sangat baik
kak cukup,cukup
kurang ,kurang
mak temmen wawai atau jahel,tidak begitu baik atau jelek
si kedo si paling wawai?,yang mana yang paling bagus ?
ijo si paling murah?,ini yang termurah
ijo si mahhal,ini yang termahal
ijo sipaling mahhal,ini yang paling mahal
jo si temen2 mahhal,ini yang sangat mahal
ijo si wawai,ini yang terbaik
ijo ayen sai wawai,ini bukan yang terbaik
ijo si biaso ,ini yang biasa
ijo sai paling sijahhel,ini yang paling jelek
ijo sijahel,ini yang jelek
geh keddo perasaan meu jinno wakteu sagata?,bagaimana perasaanmu tadi ketika berpantun ?
ikam maleu,saya malu
ikam kebingungan,saya kebingungan
biaso gaweh,biasa saja
sedih temen,menyedihkan
ikam iling temmen,saya senang betul
pigho numur tilpunmeu,berapa nomor teleponmu ?
numur tilpun ikam enem waleu limo tigo enem waleu enem,nomor telepon saya enam delapan lima tiga enam delapan enam
kamar no numur pigho,kamarnya nomor berapa ?
kamarno limo wo tigo,kamar nomor lima dua tiga
numur pigho nuwo ne?,nomor berapa rumahnya ?
nuwo no numur pak belas,rumahnya nomor empat belas
nyokah sekam wat numur ktp?,apakah anda punya nomor ktp ?
"iya ikam ngemik, numur ktp ikam waleu tigo waleu tigo limo pak siwo waleu","ya saya punya , nomor ktp saya 83835498"
sekam wat anak pigho?,anda punya anak berapa ?
ikam wat limo anak,saya punya lima anak
pigho munei wakteu sai sekam perleu?,berapa lama waktu yang anda butuhkan ?
ikam perleu wakteu tigo panas,saya butuh waktu tiga hari
ikam perleu wakteu seminggeu,saya butuh waktu seminggu
pigho liter mutur ino dapek nappung binsin?,berapa liter motor ini bisa menampung bensin ?
mutur ijo dapek nappung bensin 3 liter,motor ini bisa menampung bensin sampai tiga liter
pigho gelas wai nginum sai sekam perleu ko,berapa gelas air yang anda butuhkan ?
ikam perleu wo gelas wai nginum,saya butuh dua gelas air
pigho nayah duit sai sekam wat?,berapa banyak uang yang anda punya ?
ikam wat limo belas juta,saya punya lima belas juta
pigho nayah duit sau sekam perleu ko?,berapa banyak uang yang anda butuhkan ?
ikam perleu puluh juta,saya butuh sepuluh juta
pigho biyak badan sekam?,berapakah berat badan anda ?
biyak badan ikam tujuh puluh killo,berat badan saya tujuh puluh kilo
